"loan_id","tanggal_cair","cabang","agen","amount"
52,2020-01-08,"AB","AB-2",400000
53,2020-01-08,"AB","AB-2",240000
54,2020-01-08,"AC","AC-1",360000
55,2020-01-08,"AC","AC-1",120000
56,2020-01-08,"AC","AC-1",280000
57,2020-01-08,"AC","AC-2",290000
58,2020-01-08,"AC","AC-2",240000
59,2020-01-08,"AC","AC-2",330000
60,2020-01-08,"AD","AD-1",430000
61,2020-01-08,"AD","AD-1",300000
62,2020-01-08,"AD","AD-1",320000
63,2020-01-08,"AD","AD-2",260000
64,2020-01-08,"AD","AD-2",360000
65,2020-01-08,"AD","AD-2",500000
66,2020-01-09,"AA","AA-1",290000
67,2020-01-09,"AA","AA-1",380000
68,2020-01-09,"AA","AA-1",270000
69,2020-01-09,"AA","AA-2",260000
70,2020-01-09,"AA","AA-2",520000
71,2020-01-09,"AA","AA-2",130000
72,2020-01-09,"AB","AB-1",310000
73,2020-01-09,"AB","AB-1",240000
74,2020-01-09,"AB","AB-1",410000
75,2020-01-09,"AB","AB-1",340000
76,2020-01-09,"AB","AB-2",250000
77,2020-01-09,"AB","AB-2",450000
78,2020-01-09,"AB","AB-2",340000
79,2020-01-09,"AC","AC-1",390000
80,2020-01-09,"AC","AC-1",260000
81,2020-01-09,"AC","AC-1",350000
82,2020-01-09,"AC","AC-2",240000
83,2020-01-09,"AC","AC-2",330000
84,2020-01-09,"AC","AC-2",400000
85,2020-01-09,"AD","AD-1",130000
86,2020-01-09,"AD","AD-1",280000
87,2020-01-09,"AD","AD-1",250000
88,2020-01-09,"AD","AD-2",60000
89,2020-01-09,"AD","AD-2",250000
90,2020-01-09,"AD","AD-2",380000
91,2020-01-10,"AA","AA-1",480000
92,2020-01-10,"AA","AA-1",320000
93,2020-01-10,"AA","AA-1",410000
94,2020-01-10,"AA","AA-2",200000
95,2020-01-10,"AA","AA-2",190000
96,2020-01-10,"AA","AA-2",130000
97,2020-01-10,"AB","AB-1",320000
98,2020-01-10,"AB","AB-1",370000
99,2020-01-10,"AB","AB-1",340000
100,2020-01-10,"AB","AB-1",320000
101,2020-01-10,"AB","AB-2",280000
102,2020-01-10,"AB","AB-2",140000
103,2020-01-10,"AB","AB-2",300000
104,2020-01-10,"AC","AC-1",350000
105,2020-01-10,"AC","AC-1",180000
106,2020-01-10,"AC","AC-1",230000
107,2020-01-10,"AD","AD-1",280000
108,2020-01-10,"AD","AD-1",420000
109,2020-01-10,"AD","AD-1",200000
110,2020-01-10,"AD","AD-2",210000
111,2020-01-10,"AD","AD-2",180000
112,2020-01-10,"AD","AD-2",270000
113,2020-01-13,"AA","AA-1",400000
114,2020-01-13,"AA","AA-1",420000
115,2020-01-13,"AA","AA-1",270000
116,2020-01-13,"AA","AA-2",230000
117,2020-01-13,"AA","AA-2",360000
118,2020-01-13,"AA","AA-2",320000
119,2020-01-13,"AB","AB-1",230000
120,2020-01-13,"AB","AB-1",260000
121,2020-01-13,"AB","AB-1",510000
122,2020-01-13,"AC","AC-1",250000
123,2020-01-13,"AC","AC-1",410000
124,2020-01-13,"AC","AC-1",420000
125,2020-01-13,"AC","AC-2",380000
126,2020-01-13,"AC","AC-2",300000
127,2020-01-13,"AC","AC-2",320000
128,2020-01-13,"AD","AD-1",250000
129,2020-01-13,"AD","AD-1",460000
130,2020-01-13,"AD","AD-1",280000
131,2020-01-13,"AD","AD-2",120000
132,2020-01-13,"AD","AD-2",130000
133,2020-01-13,"AD","AD-2",540000
134,2020-01-14,"AA","AA-1",190000
135,2020-01-14,"AA","AA-1",300000
136,2020-01-14,"AA","AA-1",230000
137,2020-01-14,"AB","AB-1",380000
138,2020-01-14,"AB","AB-1",350000
139,2020-01-14,"AB","AB-1",-30000
140,2020-01-14,"AB","AB-2",410000
141,2020-01-14,"AB","AB-2",270000
142,2020-01-14,"AB","AB-2",270000
143,2020-01-14,"AC","AC-1",280000
144,2020-01-14,"AC","AC-1",280000
145,2020-01-14,"AC","AC-1",280000
146,2020-01-14,"AC","AC-2",190000
147,2020-01-14,"AC","AC-2",390000
148,2020-01-14,"AC","AC-2",290000
149,2020-01-14,"AD","AD-1",390000
150,2020-01-14,"AD","AD-1",350000
151,2020-01-14,"AD","AD-1",300000
152,2020-01-14,"AD","AD-2",220000
153,2020-01-14,"AD","AD-2",190000
154,2020-01-14,"AD","AD-2",280000
155,2020-01-15,"AA","AA-1",240000
156,2020-01-15,"AA","AA-1",160000
157,2020-01-15,"AA","AA-1",280000
158,2020-01-15,"AA","AA-2",330000
159,2020-01-15,"AA","AA-2",440000
160,2020-01-15,"AA","AA-2",300000
161,2020-01-15,"AB","AB-1",330000
162,2020-01-15,"AB","AB-1",430000
163,2020-01-15,"AB","AB-1",260000
164,2020-01-15,"AB","AB-2",160000
165,2020-01-15,"AB","AB-2",330000
166,2020-01-15,"AB","AB-2",280000
167,2020-01-15,"AC","AC-1",140000
168,2020-01-15,"AC","AC-1",120000
169,2020-01-15,"AC","AC-2",380000
170,2020-01-15,"AC","AC-2",360000
171,2020-01-15,"AC","AC-2",140000
172,2020-01-15,"AC","AC-2",440000
173,2020-01-15,"AD","AD-1",230000
174,2020-01-15,"AD","AD-1",160000
175,2020-01-15,"AD","AD-1",230000
176,2020-01-15,"AD","AD-2",350000
177,2020-01-15,"AD","AD-2",340000
178,2020-01-15,"AD","AD-2",290000
179,2020-01-16,"AA","AA-1",340000
180,2020-01-16,"AA","AA-1",250000
181,2020-01-16,"AA","AA-1",410000
182,2020-01-16,"AA","AA-2",510000
183,2020-01-16,"AA","AA-2",360000
184,2020-01-16,"AA","AA-2",380000
185,2020-01-16,"AB","AB-1",370000
186,2020-01-16,"AB","AB-1",340000
187,2020-01-16,"AB","AB-2",360000
188,2020-01-16,"AB","AB-2",290000
189,2020-01-16,"AB","AB-2",450000
190,2020-01-16,"AC","AC-1",470000
191,2020-01-16,"AC","AC-1",230000
192,2020-01-16,"AC","AC-1",290000
193,2020-01-16,"AC","AC-2",160000
194,2020-01-16,"AC","AC-2",380000
195,2020-01-16,"AC","AC-2",320000
196,2020-01-16,"AD","AD-1",230000
197,2020-01-16,"AD","AD-1",450000
198,2020-01-16,"AD","AD-1",390000
199,2020-01-17,"AA","AA-1",330000
200,2020-01-17,"AA","AA-1",300000
201,2020-01-17,"AA","AA-1",340000
202,2020-01-17,"AA","AA-2",310000
203,2020-01-17,"AA","AA-2",130000
204,2020-01-17,"AB","AB-1",250000
205,2020-01-17,"AB","AB-1",380000
206,2020-01-17,"AB","AB-1",260000
207,2020-01-17,"AC","AC-1",250000
208,2020-01-17,"AC","AC-1",360000
209,2020-01-17,"AC","AC-1",260000
210,2020-01-17,"AC","AC-2",300000
211,2020-01-17,"AC","AC-2",210000
212,2020-01-17,"AD","AD-1",330000
213,2020-01-17,"AD","AD-1",230000
214,2020-01-17,"AD","AD-1",400000
215,2020-01-17,"AD","AD-2",430000
216,2020-01-17,"AD","AD-2",400000
217,2020-01-17,"AD","AD-2",480000
218,2020-01-20,"AA","AA-1",270000
219,2020-01-20,"AA","AA-1",300000
220,2020-01-20,"AA","AA-1",400000
221,2020-01-20,"AB","AB-1",350000
222,2020-01-20,"AB","AB-1",280000
223,2020-01-20,"AB","AB-1",220000
224,2020-01-20,"AB","AB-2",460000
225,2020-01-20,"AB","AB-2",440000
226,2020-01-20,"AB","AB-2",370000
227,2020-01-20,"AC","AC-1",110000
228,2020-01-20,"AC","AC-1",350000
229,2020-01-20,"AC","AC-1",240000
230,2020-01-20,"AC","AC-2",310000
231,2020-01-20,"AC","AC-2",330000
232,2020-01-20,"AC","AC-2",160000
233,2020-01-20,"AD","AD-1",400000
234,2020-01-20,"AD","AD-1",210000
235,2020-01-20,"AD","AD-1",210000
236,2020-01-21,"AA","AA-1",440000
237,2020-01-21,"AA","AA-1",290000
238,2020-01-21,"AA","AA-1",300000
239,2020-01-21,"AA","AA-2",390000
240,2020-01-21,"AA","AA-2",210000
241,2020-01-21,"AA","AA-2",150000
242,2020-01-21,"AB","AB-1",470000
243,2020-01-21,"AB","AB-1",140000
244,2020-01-21,"AB","AB-1",410000
245,2020-01-21,"AB","AB-2",340000
246,2020-01-21,"AB","AB-2",340000
247,2020-01-21,"AB","AB-2",290000
248,2020-01-21,"AC","AC-1",140000
249,2020-01-21,"AC","AC-1",300000
250,2020-01-21,"AC","AC-1",260000
251,2020-01-21,"AC","AC-1",10000
252,2020-01-21,"AC","AC-2",240000
253,2020-01-21,"AC","AC-2",200000
254,2020-01-21,"AC","AC-2",360000
255,2020-01-21,"AD","AD-1",270000
256,2020-01-21,"AD","AD-1",380000
257,2020-01-21,"AD","AD-1",290000
258,2020-01-22,"AA","AA-1",250000
259,2020-01-22,"AA","AA-1",180000
260,2020-01-22,"AA","AA-1",370000
261,2020-01-22,"AA","AA-1",290000
262,2020-01-22,"AB","AB-1",280000
263,2020-01-22,"AB","AB-1",310000
264,2020-01-22,"AB","AB-1",380000
265,2020-01-22,"AB","AB-2",270000
266,2020-01-22,"AB","AB-2",190000
267,2020-01-22,"AB","AB-2",400000
268,2020-01-22,"AC","AC-1",370000
269,2020-01-22,"AC","AC-1",160000
270,2020-01-22,"AC","AC-1",560000
271,2020-01-22,"AC","AC-2",440000
272,2020-01-22,"AC","AC-2",330000
273,2020-01-22,"AC","AC-2",240000
274,2020-01-22,"AD","AD-1",370000
275,2020-01-22,"AD","AD-1",290000
276,2020-01-22,"AD","AD-1",270000
277,2020-01-22,"AD","AD-2",490000
278,2020-01-22,"AD","AD-2",450000
279,2020-01-23,"AA","AA-1",180000
280,2020-01-23,"AA","AA-1",630000
281,2020-01-23,"AA","AA-2",300000
282,2020-01-23,"AA","AA-2",220000
283,2020-01-23,"AA","AA-2",210000
284,2020-01-23,"AA","AA-2",390000
285,2020-01-23,"AB","AB-1",370000
286,2020-01-23,"AB","AB-1",350000
287,2020-01-23,"AB","AB-1",210000
288,2020-01-23,"AB","AB-2",200000
289,2020-01-23,"AB","AB-2",290000
290,2020-01-23,"AB","AB-2",350000
291,2020-01-23,"AC","AC-1",240000
292,2020-01-23,"AC","AC-1",310000
293,2020-01-23,"AC","AC-1",530000
294,2020-01-23,"AC","AC-2",300000
295,2020-01-23,"AC","AC-2",460000
296,2020-01-23,"AC","AC-2",300000
297,2020-01-23,"AD","AD-1",290000
298,2020-01-23,"AD","AD-1",410000
299,2020-01-23,"AD","AD-1",410000
300,2020-01-23,"AD","AD-1",270000
301,2020-01-23,"AD","AD-2",130000
302,2020-01-23,"AD","AD-2",300000
303,2020-01-23,"AD","AD-2",270000
304,2020-01-23,"AD","AD-2",150000
305,2020-01-24,"AA","AA-1",60000
306,2020-01-24,"AA","AA-1",200000
307,2020-01-24,"AA","AA-1",170000
308,2020-01-24,"AA","AA-2",230000
309,2020-01-24,"AA","AA-2",140000
310,2020-01-24,"AA","AA-2",340000
311,2020-01-24,"AB","AB-1",230000
312,2020-01-24,"AB","AB-1",390000
313,2020-01-24,"AB","AB-2",430000
314,2020-01-24,"AB","AB-2",300000
315,2020-01-24,"AB","AB-2",390000
316,2020-01-24,"AC","AC-1",380000
317,2020-01-24,"AC","AC-1",250000
318,2020-01-24,"AC","AC-1",420000
319,2020-01-24,"AC","AC-2",330000
320,2020-01-24,"AC","AC-2",260000
321,2020-01-24,"AC","AC-2",220000
322,2020-01-24,"AC","AC-2",150000
323,2020-01-24,"AD","AD-1",460000
324,2020-01-24,"AD","AD-1",430000
325,2020-01-24,"AD","AD-1",310000
326,2020-01-24,"AD","AD-1",130000
327,2020-01-24,"AD","AD-2",390000
328,2020-01-24,"AD","AD-2",380000
329,2020-01-24,"AD","AD-2",300000
330,2020-01-27,"AA","AA-1",290000
331,2020-01-27,"AA","AA-1",360000
332,2020-01-27,"AA","AA-1",260000
333,2020-01-27,"AA","AA-2",500000
334,2020-01-27,"AA","AA-2",390000
335,2020-01-27,"AB","AB-1",350000
336,2020-01-27,"AB","AB-1",270000
337,2020-01-27,"AB","AB-1",330000
338,2020-01-27,"AB","AB-2",350000
339,2020-01-27,"AB","AB-2",410000
340,2020-01-27,"AB","AB-2",470000
341,2020-01-27,"AC","AC-1",350000
342,2020-01-27,"AC","AC-1",300000
343,2020-01-27,"AC","AC-1",380000
344,2020-01-27,"AC","AC-2",310000
345,2020-01-27,"AC","AC-2",210000
346,2020-01-27,"AC","AC-2",320000
347,2020-01-27,"AD","AD-1",390000
348,2020-01-27,"AD","AD-1",510000
349,2020-01-27,"AD","AD-1",110000
350,2020-01-27,"AD","AD-2",210000
351,2020-01-27,"AD","AD-2",180000
352,2020-01-27,"AD","AD-2",200000
353,2020-01-28,"AA","AA-1",150000
354,2020-01-28,"AA","AA-1",360000
355,2020-01-28,"AA","AA-1",400000
356,2020-01-28,"AA","AA-2",290000
357,2020-01-28,"AA","AA-2",380000
358,2020-01-28,"AA","AA-2",120000
359,2020-01-28,"AB","AB-1",320000
360,2020-01-28,"AB","AB-1",330000
361,2020-01-28,"AB","AB-1",310000
362,2020-01-28,"AB","AB-1",260000
363,2020-01-28,"AB","AB-2",220000
364,2020-01-28,"AB","AB-2",380000
365,2020-01-28,"AB","AB-2",170000
366,2020-01-28,"AC","AC-1",320000
367,2020-01-28,"AC","AC-1",280000
368,2020-01-28,"AC","AC-1",300000
369,2020-01-28,"AD","AD-1",210000
370,2020-01-28,"AD","AD-1",230000
371,2020-01-28,"AD","AD-1",460000
372,2020-01-28,"AD","AD-2",330000
373,2020-01-28,"AD","AD-2",260000
374,2020-01-28,"AD","AD-2",440000
375,2020-01-29,"AA","AA-1",350000
376,2020-01-29,"AA","AA-1",320000
377,2020-01-29,"AA","AA-2",310000
378,2020-01-29,"AA","AA-2",270000
379,2020-01-29,"AA","AA-2",320000
380,2020-01-29,"AB","AB-1",170000
381,2020-01-29,"AB","AB-1",190000
382,2020-01-29,"AB","AB-1",230000
383,2020-01-29,"AB","AB-2",240000
384,2020-01-29,"AB","AB-2",390000
385,2020-01-29,"AB","AB-2",250000
386,2020-01-29,"AC","AC-1",290000
387,2020-01-29,"AC","AC-1",120000
388,2020-01-29,"AC","AC-1",400000
389,2020-01-29,"AC","AC-2",150000
390,2020-01-29,"AC","AC-2",320000
391,2020-01-29,"AC","AC-2",290000
392,2020-01-29,"AD","AD-1",310000
393,2020-01-29,"AD","AD-1",350000
394,2020-01-29,"AD","AD-1",230000
395,2020-01-29,"AD","AD-2",560000
396,2020-01-29,"AD","AD-2",260000
397,2020-01-29,"AD","AD-2",450000
398,2020-01-30,"AA","AA-1",240000
399,2020-01-30,"AA","AA-1",410000
400,2020-01-30,"AA","AA-1",500000
401,2020-01-30,"AA","AA-2",110000
402,2020-01-30,"AA","AA-2",270000
403,2020-01-30,"AA","AA-2",330000
404,2020-01-30,"AB","AB-1",110000
405,2020-01-30,"AB","AB-1",420000
406,2020-01-30,"AB","AB-2",440000
407,2020-01-30,"AB","AB-2",280000
408,2020-01-30,"AB","AB-2",320000
409,2020-01-30,"AC","AC-1",50000
410,2020-01-30,"AC","AC-1",240000
411,2020-01-30,"AC","AC-1",370000
412,2020-01-30,"AC","AC-2",160000
413,2020-01-30,"AC","AC-2",190000
414,2020-01-30,"AC","AC-2",470000
415,2020-01-30,"AD","AD-1",360000
416,2020-01-30,"AD","AD-1",180000
417,2020-01-30,"AD","AD-1",410000
418,2020-01-31,"AA","AA-1",340000
419,2020-01-31,"AA","AA-1",370000
420,2020-01-31,"AA","AA-1",280000
421,2020-01-31,"AA","AA-2",290000
422,2020-01-31,"AA","AA-2",350000
423,2020-01-31,"AA","AA-2",200000
424,2020-01-31,"AB","AB-1",290000
425,2020-01-31,"AB","AB-1",290000
426,2020-01-31,"AB","AB-1",350000
427,2020-01-31,"AB","AB-1",310000
428,2020-01-31,"AB","AB-2",270000
429,2020-01-31,"AB","AB-2",390000
430,2020-01-31,"AB","AB-2",300000
431,2020-01-31,"AC","AC-1",240000
432,2020-01-31,"AC","AC-1",170000
433,2020-01-31,"AC","AC-1",350000
434,2020-01-31,"AC","AC-2",220000
435,2020-01-31,"AC","AC-2",420000
436,2020-01-31,"AC","AC-2",290000
437,2020-01-31,"AD","AD-1",320000
438,2020-01-31,"AD","AD-1",360000
439,2020-01-31,"AD","AD-1",160000
440,2020-01-31,"AD","AD-2",470000
441,2020-01-31,"AD","AD-2",240000
442,2020-01-31,"AD","AD-2",610000
443,2020-02-03,"AA","AA-1",290000
444,2020-02-03,"AA","AA-1",370000
445,2020-02-03,"AA","AA-1",170000
446,2020-02-03,"AA","AA-2",210000
447,2020-02-03,"AA","AA-2",270000
448,2020-02-03,"AA","AA-2",200000
449,2020-02-03,"AB","AB-1",310000
450,2020-02-03,"AB","AB-1",240000
451,2020-02-03,"AB","AB-1",280000
452,2020-02-03,"AB","AB-2",250000
453,2020-02-03,"AB","AB-2",160000
454,2020-02-03,"AB","AB-2",280000
455,2020-02-03,"AB","AB-2",260000
456,2020-02-03,"AC","AC-1",210000
457,2020-02-03,"AC","AC-1",180000
458,2020-02-03,"AC","AC-1",470000
459,2020-02-03,"AC","AC-2",220000
460,2020-02-03,"AC","AC-2",330000
461,2020-02-03,"AC","AC-2",200000
462,2020-02-03,"AD","AD-1",70000
463,2020-02-03,"AD","AD-1",150000
464,2020-02-03,"AD","AD-1",150000
465,2020-02-03,"AD","AD-2",120000
466,2020-02-03,"AD","AD-2",290000
467,2020-02-03,"AD","AD-2",330000
468,2020-02-03,"AE","AE-1",240000
469,2020-02-03,"AE","AE-1",360000
470,2020-02-03,"AE","AE-1",260000
471,2020-02-03,"AE","AE-1",350000
472,2020-02-03,"AE","AE-2",250000
473,2020-02-03,"AE","AE-2",440000
474,2020-02-03,"AE","AE-2",200000
475,2020-02-03,"AF","AF-1",360000
476,2020-02-03,"AF","AF-1",170000
477,2020-02-03,"AF","AF-1",440000
478,2020-02-03,"AF","AF-1",340000
479,2020-02-03,"AF","AF-2",470000
480,2020-02-03,"AF","AF-2",350000
481,2020-02-03,"AF","AF-2",290000
482,2020-02-03,"AG","AG-1",300000
483,2020-02-03,"AG","AG-1",360000
484,2020-02-03,"AG","AG-1",450000
485,2020-02-03,"AG","AG-2",250000
486,2020-02-03,"AG","AG-2",460000
487,2020-02-03,"AG","AG-2",370000
488,2020-02-03,"AH","AH-1",290000
489,2020-02-03,"AH","AH-1",390000
490,2020-02-03,"AH","AH-1",300000
491,2020-02-03,"AH","AH-2",310000
492,2020-02-03,"AH","AH-2",280000
493,2020-02-03,"AH","AH-2",250000
494,2020-02-04,"AA","AA-1",240000
495,2020-02-04,"AA","AA-1",260000
496,2020-02-04,"AA","AA-1",350000
497,2020-02-04,"AB","AB-1",190000
498,2020-02-04,"AB","AB-1",270000
499,2020-02-04,"AB","AB-1",250000
500,2020-02-04,"AB","AB-2",250000
501,2020-02-04,"AB","AB-2",330000
502,2020-02-04,"AB","AB-2",330000
503,2020-02-04,"AC","AC-1",220000
504,2020-02-04,"AC","AC-1",260000
505,2020-02-04,"AC","AC-1",340000
506,2020-02-04,"AC","AC-2",380000
507,2020-02-04,"AC","AC-2",320000
508,2020-02-04,"AC","AC-2",180000
509,2020-02-04,"AD","AD-1",360000
510,2020-02-04,"AD","AD-1",110000
511,2020-02-04,"AD","AD-1",220000
512,2020-02-04,"AE","AE-1",300000
513,2020-02-04,"AE","AE-1",380000
514,2020-02-04,"AE","AE-1",210000
515,2020-02-04,"AF","AF-1",350000
516,2020-02-04,"AF","AF-1",250000
517,2020-02-04,"AG","AG-1",220000
518,2020-02-04,"AG","AG-1",480000
519,2020-02-04,"AG","AG-1",220000
520,2020-02-04,"AG","AG-2",370000
521,2020-02-04,"AG","AG-2",280000
522,2020-02-04,"AG","AG-2",470000
523,2020-02-04,"AH","AH-1",270000
524,2020-02-04,"AH","AH-1",320000
525,2020-02-04,"AH","AH-1",290000
526,2020-02-05,"AA","AA-1",240000
527,2020-02-05,"AA","AA-1",440000
528,2020-02-05,"AA","AA-1",290000
529,2020-02-05,"AA","AA-2",340000
530,2020-02-05,"AA","AA-2",600000
531,2020-02-05,"AA","AA-2",240000
532,2020-02-05,"AB","AB-1",250000
533,2020-02-05,"AB","AB-1",350000
534,2020-02-05,"AB","AB-1",450000
535,2020-02-05,"AB","AB-2",290000
536,2020-02-05,"AB","AB-2",230000
537,2020-02-05,"AB","AB-2",360000
538,2020-02-05,"AC","AC-1",210000
539,2020-02-05,"AC","AC-1",330000
540,2020-02-05,"AC","AC-1",310000
541,2020-02-05,"AC","AC-2",360000
542,2020-02-05,"AC","AC-2",220000
543,2020-02-05,"AC","AC-2",330000
544,2020-02-05,"AD","AD-1",430000
545,2020-02-05,"AD","AD-1",220000
546,2020-02-05,"AD","AD-1",310000
547,2020-02-05,"AD","AD-2",400000
548,2020-02-05,"AD","AD-2",280000
549,2020-02-05,"AD","AD-2",510000
550,2020-02-05,"AE","AE-1",340000
551,2020-02-05,"AE","AE-1",190000
552,2020-02-05,"AE","AE-1",240000
553,2020-02-05,"AE","AE-2",430000
554,2020-02-05,"AE","AE-2",380000
555,2020-02-05,"AE","AE-2",440000
556,2020-02-05,"AE","AE-2",200000
557,2020-02-05,"AF","AF-1",270000
558,2020-02-05,"AF","AF-1",270000
559,2020-02-05,"AF","AF-1",270000
560,2020-02-05,"AF","AF-2",240000
561,2020-02-05,"AF","AF-2",280000
562,2020-02-05,"AF","AF-2",80000
563,2020-02-05,"AG","AG-1",330000
564,2020-02-05,"AG","AG-1",290000
565,2020-02-05,"AG","AG-1",400000
566,2020-02-05,"AG","AG-2",390000
567,2020-02-05,"AG","AG-2",360000
568,2020-02-05,"AH","AH-1",200000
569,2020-02-05,"AH","AH-1",90000
570,2020-02-05,"AH","AH-1",330000
571,2020-02-05,"AH","AH-2",350000
572,2020-02-05,"AH","AH-2",300000
573,2020-02-05,"AH","AH-2",510000
574,2020-02-05,"AH","AH-2",270000
575,2020-02-06,"AA","AA-1",190000
576,2020-02-06,"AA","AA-1",220000
577,2020-02-06,"AA","AA-1",350000
578,2020-02-06,"AA","AA-2",240000
579,2020-02-06,"AA","AA-2",390000
580,2020-02-06,"AA","AA-2",350000
581,2020-02-06,"AA","AA-2",210000
582,2020-02-06,"AB","AB-1",360000
583,2020-02-06,"AB","AB-1",240000
584,2020-02-06,"AB","AB-1",290000
585,2020-02-06,"AB","AB-2",370000
586,2020-02-06,"AB","AB-2",120000
587,2020-02-06,"AB","AB-2",340000
588,2020-02-06,"AC","AC-1",230000
589,2020-02-06,"AC","AC-1",310000
590,2020-02-06,"AC","AC-1",340000
591,2020-02-06,"AC","AC-2",220000
592,2020-02-06,"AC","AC-2",290000
593,2020-02-06,"AC","AC-2",190000
594,2020-02-06,"AC","AC-2",300000
595,2020-02-06,"AD","AD-1",420000
596,2020-02-06,"AD","AD-1",250000
597,2020-02-06,"AD","AD-1",270000
598,2020-02-06,"AD","AD-2",430000
599,2020-02-06,"AD","AD-2",110000
600,2020-02-06,"AD","AD-2",320000
601,2020-02-06,"AD","AD-2",270000
602,2020-02-06,"AD","AD-2",460000
603,2020-02-06,"AE","AE-1",300000
604,2020-02-06,"AE","AE-1",230000
605,2020-02-06,"AE","AE-1",270000
606,2020-02-06,"AF","AF-1",290000
607,2020-02-06,"AF","AF-1",350000
608,2020-02-06,"AF","AF-1",320000
609,2020-02-06,"AF","AF-2",430000
610,2020-02-06,"AF","AF-2",450000
611,2020-02-06,"AF","AF-2",310000
612,2020-02-06,"AG","AG-1",260000
613,2020-02-06,"AG","AG-1",450000
614,2020-02-06,"AG","AG-1",170000
615,2020-02-06,"AG","AG-2",400000
616,2020-02-06,"AG","AG-2",370000
617,2020-02-06,"AG","AG-2",200000
618,2020-02-06,"AH","AH-1",370000
619,2020-02-06,"AH","AH-1",380000
620,2020-02-06,"AH","AH-1",170000
621,2020-02-06,"AH","AH-2",280000
622,2020-02-06,"AH","AH-2",500000
623,2020-02-06,"AH","AH-2",450000
624,2020-02-07,"AA","AA-1",230000
625,2020-02-07,"AA","AA-1",270000
626,2020-02-07,"AA","AA-1",250000
627,2020-02-07,"AA","AA-2",300000
628,2020-02-07,"AA","AA-2",90000
629,2020-02-07,"AA","AA-2",280000
630,2020-02-07,"AA","AA-2",220000
631,2020-02-07,"AB","AB-1",310000
632,2020-02-07,"AB","AB-1",210000
633,2020-02-07,"AB","AB-1",290000
634,2020-02-07,"AB","AB-2",330000
635,2020-02-07,"AB","AB-2",440000
636,2020-02-07,"AB","AB-2",110000
637,2020-02-07,"AC","AC-1",350000
638,2020-02-07,"AC","AC-1",60000
639,2020-02-07,"AC","AC-1",220000
640,2020-02-07,"AC","AC-2",350000
641,2020-02-07,"AC","AC-2",390000
642,2020-02-07,"AC","AC-2",370000
643,2020-02-07,"AD","AD-1",310000
644,2020-02-07,"AD","AD-1",320000
645,2020-02-07,"AD","AD-1",290000
646,2020-02-07,"AD","AD-1",360000
647,2020-02-07,"AD","AD-2",300000
648,2020-02-07,"AD","AD-2",260000
649,2020-02-07,"AD","AD-2",260000
650,2020-02-07,"AD","AD-2",320000
651,2020-02-07,"AE","AE-1",240000
652,2020-02-07,"AE","AE-1",290000
653,2020-02-07,"AE","AE-2",300000
654,2020-02-07,"AE","AE-2",300000
655,2020-02-07,"AE","AE-2",230000
656,2020-02-07,"AF","AF-1",470000
657,2020-02-07,"AF","AF-1",280000
658,2020-02-07,"AF","AF-1",430000
659,2020-02-07,"AF","AF-2",310000
660,2020-02-07,"AF","AF-2",450000
661,2020-02-07,"AF","AF-2",410000
662,2020-02-07,"AF","AF-2",300000
663,2020-02-07,"AG","AG-1",270000
664,2020-02-07,"AG","AG-1",230000
